"Team","System_Team","Match_Number","Home_Away","Three_Or_Five_Def","Two_Strikers","Classification","Age","Mean_Value","Rank","Points","League","Rank_bis","Points_bis"
"Olympique Lyon","4-3-3",1,"Home","No","No","4d_1s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"AC Ajaccio","4-4-2",1,"Away","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"RC Strasbourg Alsace","3-4-1-2",2,"Home","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"AS Monaco","4-2-3-1",2,"Away","No","No","4d_1s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"Clermont Foot 63","4-2-3-1",3,"Home","No","No","4d_1s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"Paris Saint-Germain","3-4-3",3,"Away","Yes","No","3_5d_1s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"FC Toulouse","4-2-3-1",4,"Home","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"OGC Nice","4-3-3",4,"Away","No","No","4d_1s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"Angers SCO","4-2-3-1",5,"Home","No","No","4d_1s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"FC Nantes","3-4-1-2",5,"Away","Yes","Yes","3_5d_2s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"LOSC Lille","4-2-3-1",6,"Home","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"AJ Auxerre","4-1-4-1",6,"Away","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"Montpellier HSC","4-2-3-1",7,"Home","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"ESTAC Troyes","5-4-1",7,"Away","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"RC Lens","3-4-2-1",8,"Home","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"Stade Brestois 29","4-4-2",8,"Away","No","Yes","4d_2s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"Stade Rennais FC","4-2-3-1",9,"Home","No","No","4d_1s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"FC Lorient","4-2-3-1",9,"Away","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"Olympique Marseille","3-4-2-1",10,"Home","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"Stade Reims","4-3-3",10,"Away","No","No","4d_1s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"FC Nantes","3-5-2",11,"Home","Yes","Yes","3_5d_2s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"LOSC Lille","4-2-3-1",11,"Away","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"AS Monaco","4-4-2",12,"Home","No","Yes","4d_2s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"Stade Rennais FC","4-3-3",12,"Away","No","No","4d_1s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"Paris Saint-Germain","3-4-1-2",13,"Home","Yes","Yes","3_5d_2s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"Montpellier HSC","4-1-4-1",13,"Away","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"AC Ajaccio","4-4-2",14,"Home","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"RC Lens","3-4-2-1",14,"Away","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"AJ Auxerre","4-1-4-1",15,"Home","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"Angers SCO","4-2-3-1",15,"Away","No","No","4d_1s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"Stade Reims","3-4-2-1",16,"Home","Yes","No","3_5d_1s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"Clermont Foot 63","4-2-3-1",16,"Away","No","No","4d_1s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"ESTAC Troyes","5-4-1",17,"Home","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"FC Toulouse","4-2-3-1",17,"Away","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
