"Date","HomeTeam","Result","HomeGoals","AwayGoals","AwayTeam","League","Goals_Number","Year","Yearbis"
1995-07-18,"SC Bastia","2:2","2","2","Paris SG","Ligue 1",4,1995,1995
1995-07-19,"Cannes","3:0","3","0","Olympique Lyon","Ligue 1",3,1995,1995
1995-07-19,"Monaco","3:1","3","1","Stade Rennais","Ligue 1",4,1995,1995
1995-07-19,"Guingamp","2:0","2","0","FC Martigues","Ligue 1",2,1995,1995
1995-07-19,"Lens","2:0","2","0","Le Havre AC","Ligue 1",2,1995,1995
1995-07-19,"G. Bordeaux","1:0","1","0","LOSC Lille","Ligue 1",1,1995,1995
1995-07-19,"FC Nantes","1:0","1","0","AJ Auxerre","Ligue 1",1,1995,1995
1995-07-19,"Montpellier","2:2","2","2","R. Strasbourg","Ligue 1",4,1995,1995
1995-07-19,"Saint-Étienne","1:1","1","1","OGC Nice","Ligue 1",2,1995,1995
1995-07-19,"FC Gueugnon","0:0","0","0","FC Metz","Ligue 1",0,1995,1995
1995-07-25,"OGC Nice","1:2","1","2","Monaco","Ligue 1",3,1995,1995
1995-07-26,"FC Martigues","0:4","0","4","FC Nantes","Ligue 1",4,1995,1995
1995-07-26,"G. Bordeaux","2:0","2","0","Saint-Étienne","Ligue 1",2,1995,1995
1995-07-26,"R. Strasbourg","3:0","3","0","Le Havre AC","Ligue 1",3,1995,1995
1995-07-26,"LOSC Lille","0:2","0","2","SC Bastia","Ligue 1",2,1995,1995
1995-07-26,"Paris SG","1:1","1","1","Guingamp","Ligue 1",2,1995,1995
1995-07-26,"FC Metz","2:0","2","0","Lens","Ligue 1",2,1995,1995
1995-07-26,"AJ Auxerre","4:0","4","0","FC Gueugnon","Ligue 1",4,1995,1995
1995-07-26,"Stade Rennais","3:2","3","2","Cannes","Ligue 1",5,1995,1995
1995-07-26,"Olympique Lyon","3:2","3","2","Montpellier","Ligue 1",5,1995,1995
1995-08-04,"FC Nantes","1:2","1","2","Paris SG","Ligue 1",3,1995,1995
1995-08-05,"SC Bastia","2:0","2","0","G. Bordeaux","Ligue 1",2,1995,1995
1995-08-05,"Monaco","2:2","2","2","AJ Auxerre","Ligue 1",4,1995,1995
1995-08-05,"Cannes","1:2","1","2","FC Metz","Ligue 1",3,1995,1995
1995-08-05,"Lens","0:0","0","0","R. Strasbourg","Ligue 1",0,1995,1995
1995-08-05,"Guingamp","0:0","0","0","OGC Nice","Ligue 1",0,1995,1995
1995-08-05,"Montpellier","3:1","3","1","Stade Rennais","Ligue 1",4,1995,1995
1995-08-05,"Le Havre AC","2:1","2","1","Olympique Lyon","Ligue 1",3,1995,1995
1995-08-05,"Saint-Étienne","1:1","1","1","LOSC Lille","Ligue 1",2,1995,1995
1995-08-05,"FC Gueugnon","0:0","0","0","FC Martigues","Ligue 1",0,1995,1995
1995-08-09,"SC Bastia","2:1","2","1","Monaco","Ligue 1",3,1995,1995
