nom_universite;url_recrutement;remarques;class 
Aix-Marseille Université;https://recrutement.univ-amu.fr/;;Offre  : job__title, lien dans le <a> href, titre dans le <span>
Université de Picardie Jules Verne;https://u-picardie.nous-recrutons.fr/offres-emploi/;;Offre : data-post-id, lien dans la class jet-engine-listing-overlay-link, titre dans le jet-listing-dynamic-field__content
Université d'Angers;https://recrutement.univ-angers.fr/offres-emploi/;bouton afficher plus d’offres;Offre : data-post-id, lien dans la class jet-engine-listing-overlay-link, titre dans le jet-listing-dynamic-field__content
Université d'Artois;https://careers.flatchr.io/fr/company/universitedartois/?source=3424;;Offre : title-offers, lien dans le href du <a>, titre dans le <a>
Avignon Université;https://recrutement.univ-avignon.fr/;;Offre : job-card-container, lien dans href de stretched-link, titre dans stretched-link
Université de Technologie de Belfort-Montbéliard;https://www.utbm.fr/utbm/emploi-a-lutbm/#contractuels;;manuellement
Université de Franche-Comté;https://univ-fcomte.nous-recrutons.fr/offres-emploi/;;Offre : data-post-id, lien dans le href jet-engine-listing-overlay-link,  titre dans le jet-listing-dynamic-field__content
Université de Bordeaux;https://www.u-bordeaux.fr/universite/travailler-a-l-universite/offres-demploi?type=pers;;Offre : job-offer-data, lien dans href de delegate-hover, titre dans card-item-title job-offer-title
Université de Bretagne Occidentale;https://ubo.nous-recrutons.fr/offres-emploi/;;Offre : data-post-id, lien dans le href jet-engine-listing-overlay-link , titre dans jet-listing-dynamic-field__content
Université de Bretagne Sud;https://univ-ubs.nous-recrutons.fr/offres-demploi-administratif-et-technique/;;Offre dans data-post-id , lien dans le href jet-engine-listing-overlay-link, titre dans jet-listing-dynamic-field__content
Université de Caen Normandie;https://recrutement-unicaen.nous-recrutons.fr/offres-emploi/;boutons plusieurs pages mais meme url;Offre dans data-post-id , lien dans le href jet-engine-listing-overlay-link, titre dans le elementor-heading-title elementor-size-default en <h3>
Université Savoie Mont Blanc;https://univ-smb.nous-recrutons.fr/nos-offres-demploi-administratifs/;bouton afficher plus d’offres;Offre dans data-post-id, lien dans le href de jet-engine-listing-overlay-link, titre dans jet-listing-dynamic-field__content
Université Clermont Auvergne;https://www.uca.fr/universite/travailler-a-luca/personnels-administratifs-et-techniques/offres-demplois-offres-de-recrutement-dagents-titulaires-et-contractuels-95;;manuellement
Université de Technologie de Compiègne;https://www.utc.fr/recrutement/;;manuellement
