Name;Age;Points;Date;Rank;Birth_date;Turned_Pro;Weight;Height;Nationality;Birth_Country;Birth_City;Backhand;Strong_Hand
Daniil Medvedev;26;6885;2022-08-29;1;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Alexander Zverev;25;5760;2022-08-29;2;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
Rafael Nadal;36;5630;2022-08-29;3;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Carlos Alcaraz;19;5100;2022-08-29;4;2003-05-05;2018;74;183;Espagne;Murcia;El Palmar;Two_Handed;Right_Handed
Stefanos Tsitsipas;24;4890;2022-08-29;5;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Novak Djokovic;35;4770;2022-08-29;6;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Casper Ruud;23;4695;2022-08-29;7;1998-12-22;2015;77;183;Norvege;Norway;Oslo;Two_Handed;Right_Handed
Felix Auger-Aliassime;22;3625;2022-08-29;8;2000-08-08;2017;88;193;Canada;Canada;Montreal;Two_Handed;Right_Handed
Cameron Norrie;27;3415;2022-08-29;9;1995-08-23;2017;82;188;Angleterre;South Africa;Johannesburg;Two_Handed;Left_Handed
Hubert Hurkacz;25;3355;2022-08-29;10;1997-02-11;2015;81;196;Pologne;Poland;Wroclaw;Two_Handed;Right_Handed
Andrey Rublev;24;3120;2022-08-29;11;1997-10-20;2014;75;188;Russie;Russia;Moscow;Two_Handed;Right_Handed
Taylor Fritz;24;3090;2022-08-29;12;1997-10-28;2015;86;196;Etats-Unis;CA;Rancho Santa Fe;Two_Handed;Right_Handed
Jannik Sinner;21;3020;2022-08-29;13;2001-08-16;2018;76;188;Italie;Italy;San Candido;Two_Handed;Right_Handed
Matteo Berrettini;26;2360;2022-08-29;14;1996-04-12;2015;95;196;Italie;Italy;Rome;Two_Handed;Right_Handed
Pablo Carreno Busta;31;2340;2022-08-29;15;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Diego Schwartzman;30;2200;2022-08-29;16;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Marin Cilic;33;2175;2022-08-29;17;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Roberto Bautista Agut;34;1840;2022-08-29;18;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Grigor Dimitrov;31;1730;2022-08-29;19;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Alex de Minaur;23;1665;2022-08-29;20;1999-02-17;2015;69;183;Australie;Australia;Sydney;Two_Handed;Right_Handed
